"game","row","col","date","day","month","year","order","player1","player2","player3"
1,3,5,"2004-09-06","06","09","2004",1,"Smith_J.D.","Casman_Betsey","Jennings_Ken"
1,3,1,"2004-09-06","06","09","2004",2,"Smith_J.D.","Casman_Betsey","Jennings_Ken"
1,3,2,"2004-09-06","06","09","2004",3,"Smith_J.D.","Casman_Betsey","Jennings_Ken"
2,5,5,"2004-09-07","07","09","2004",1,"Hartz_Rich","Watts_Bob","Jennings_Ken"
2,3,3,"2004-09-07","07","09","2004",2,"Hartz_Rich","Watts_Bob","Jennings_Ken"
2,5,5,"2004-09-07","07","09","2004",3,"Hartz_Rich","Watts_Bob","Jennings_Ken"
3,3,3,"2004-09-08","08","09","2004",1,"Gustafson_Laura","Meyer_Adam","Jennings_Ken"
3,5,3,"2004-09-08","08","09","2004",2,"Gustafson_Laura","Meyer_Adam","Jennings_Ken"
3,5,6,"2004-09-08","08","09","2004",3,"Gustafson_Laura","Meyer_Adam","Jennings_Ken"
4,4,5,"2004-09-09","09","09","2004",1,"Perkins_Todd","Helmes_Amy","Jennings_Ken"
4,4,3,"2004-09-09","09","09","2004",2,"Perkins_Todd","Helmes_Amy","Jennings_Ken"
4,4,6,"2004-09-09","09","09","2004",3,"Perkins_Todd","Helmes_Amy","Jennings_Ken"
5,4,5,"2004-09-10","10","09","2004",1,"Scheller_Bill","Min_Kollin","Jennings_Ken"
5,4,1,"2004-09-10","10","09","2004",2,"Scheller_Bill","Min_Kollin","Jennings_Ken"
5,5,3,"2004-09-10","10","09","2004",3,"Scheller_Bill","Min_Kollin","Jennings_Ken"
6,5,1,"2004-09-13","13","09","2004",1,"England_Bruce","Dolan_Dana","Jennings_Ken"
6,3,4,"2004-09-13","13","09","2004",2,"England_Bruce","Dolan_Dana","Jennings_Ken"
6,4,1,"2004-09-13","13","09","2004",3,"England_Bruce","Dolan_Dana","Jennings_Ken"
7,3,1,"2004-09-14","14","09","2004",1,"Quinn_Robert","Duffy_Kate","Jennings_Ken"
7,4,3,"2004-09-14","14","09","2004",2,"Quinn_Robert","Duffy_Kate","Jennings_Ken"
7,4,5,"2004-09-14","14","09","2004",3,"Quinn_Robert","Duffy_Kate","Jennings_Ken"
8,4,6,"2004-09-15","15","09","2004",1,"Fishbach_David","Butler_Cara","Jennings_Ken"
8,3,1,"2004-09-15","15","09","2004",2,"Fishbach_David","Butler_Cara","Jennings_Ken"
8,4,2,"2004-09-15","15","09","2004",3,"Fishbach_David","Butler_Cara","Jennings_Ken"
9,4,2,"2004-09-16","16","09","2004",1,"Skopelja_Elaine","Cook_John","Jennings_Ken"
9,3,4,"2004-09-16","16","09","2004",2,"Skopelja_Elaine","Cook_John","Jennings_Ken"
9,5,6,"2004-09-16","16","09","2004",3,"Skopelja_Elaine","Cook_John","Jennings_Ken"
10,4,2,"2004-09-17","17","09","2004",1,"Taylor_Greg","Werner_Marilyn","Jennings_Ken"
10,5,2,"2004-09-17","17","09","2004",2,"Taylor_Greg","Werner_Marilyn","Jennings_Ken"
10,5,3,"2004-09-17","17","09","2004",3,"Taylor_Greg","Werner_Marilyn","Jennings_Ken"
11,4,4,"2004-09-20","20","09","2004",1,"Williams_Keith","Ott_Sam","Gandolfi_Arthur"
11,4,1,"2004-09-20","20","09","2004",2,"Williams_Keith","Ott_Sam","Gandolfi_Arthur"
11,5,3,"2004-09-20","20","09","2004",3,"Williams_Keith","Ott_Sam","Gandolfi_Arthur"
12,4,5,"2004-09-21","21","09","2004",1,"Reynolds_Steve","Alcorn_Seth","Walsh_Tom"
12,3,3,"2004-09-21","21","09","2004",2,"Reynolds_Steve","Alcorn_Seth","Walsh_Tom"
12,5,1,"2004-09-21","21","09","2004",3,"Reynolds_Steve","Alcorn_Seth","Walsh_Tom"
13,5,2,"2004-09-22","22","09","2004",1,"Kailasanath_Vinita","Renzoni_Scott","Beck_John"
13,3,1,"2004-09-22","22","09","2004",2,"Kailasanath_Vinita","Renzoni_Scott","Beck_John"
13,4,5,"2004-09-22","22","09","2004",3,"Kailasanath_Vinita","Renzoni_Scott","Beck_John"
14,5,5,"2004-09-23","23","09","2004",1,"Schumacher_Russ","Baker_Tom","Miller_Chris"
14,3,1,"2004-09-23","23","09","2004",2,"Schumacher_Russ","Baker_Tom","Miller_Chris"
14,4,6,"2004-09-23","23","09","2004",3,"Schumacher_Russ","Baker_Tom","Miller_Chris"
15,3,5,"2004-09-24","24","09","2004",1,"Stalley_Jim","Boyd_Anne","Ryan_Sean"
15,2,1,"2004-09-24","24","09","2004",2,"Stalley_Jim","Boyd_Anne","Ryan_Sean"
15,4,5,"2004-09-24","24","09","2004",3,"Stalley_Jim","Boyd_Anne","Ryan_Sean"
16,5,3,"2004-09-27","27","09","2004",1,"Kailasanath_Vinita","Alcorn_Seth","Schumacher_Russ"
16,3,4,"2004-09-27","27","09","2004",2,"Kailasanath_Vinita","Alcorn_Seth","Schumacher_Russ"
16,5,6,"2004-09-27","27","09","2004",3,"Kailasanath_Vinita","Alcorn_Seth","Schumacher_Russ"
17,4,3,"2004-09-28","28","09","2004",1,"Miller_Chris","Boyd_Anne","Walsh_Tom"
17,3,1,"2004-09-28","28","09","2004",2,"Miller_Chris","Boyd_Anne","Walsh_Tom"
17,3,5,"2004-09-28","28","09","2004",3,"Miller_Chris","Boyd_Anne","Walsh_Tom"
18,5,6,"2004-09-29","29","09","2004",1,"Reynolds_Steve","Gandolfi_Arthur","Baker_Tom"
18,3,5,"2004-09-29","29","09","2004",2,"Reynolds_Steve","Gandolfi_Arthur","Baker_Tom"
18,5,3,"2004-09-29","29","09","2004",3,"Reynolds_Steve","Gandolfi_Arthur","Baker_Tom"
19,5,1,"2004-09-30","30","09","2004",1,"Schumacher_Russ","Walsh_Tom","Gandolfi_Arthur"
19,2,1,"2004-09-30","30","09","2004",2,"Schumacher_Russ","Walsh_Tom","Gandolfi_Arthur"
19,3,3,"2004-09-30","30","09","2004",3,"Schumacher_Russ","Walsh_Tom","Gandolfi_Arthur"
20,4,4,"2004-10-01","01","10","2004",1,"Schumacher_Russ","Walsh_Tom","Gandolfi_Arthur"
20,3,3,"2004-10-01","01","10","2004",2,"Schumacher_Russ","Walsh_Tom","Gandolfi_Arthur"
20,3,6,"2004-10-01","01","10","2004",3,"Schumacher_Russ","Walsh_Tom","Gandolfi_Arthur"
21,4,1,"2004-10-04","04","10","2004",1,"Salkind_Beth","Suchard_Jeff","Jennings_Ken"
21,4,1,"2004-10-04","04","10","2004",2,"Salkind_Beth","Suchard_Jeff","Jennings_Ken"
21,4,6,"2004-10-04","04","10","2004",3,"Salkind_Beth","Suchard_Jeff","Jennings_Ken"
22,5,3,"2004-10-05","05","10","2004",1,"Wolman_Jay","Greene_Pat","Jennings_Ken"
22,3,2,"2004-10-05","05","10","2004",2,"Wolman_Jay","Greene_Pat","Jennings_Ken"
22,5,1,"2004-10-05","05","10","2004",3,"Wolman_Jay","Greene_Pat","Jennings_Ken"
23,4,6,"2004-10-06","06","10","2004",1,"Carter_Bill","Dorminey_Kathryn","Jennings_Ken"
23,3,1,"2004-10-06","06","10","2004",2,"Carter_Bill","Dorminey_Kathryn","Jennings_Ken"
23,4,3,"2004-10-06","06","10","2004",3,"Carter_Bill","Dorminey_Kathryn","Jennings_Ken"
24,4,1,"2004-10-07","07","10","2004",1,"Lord_Jennifer","Kornya_Steve","Jennings_Ken"
24,3,4,"2004-10-07","07","10","2004",2,"Lord_Jennifer","Kornya_Steve","Jennings_Ken"
24,3,6,"2004-10-07","07","10","2004",3,"Lord_Jennifer","Kornya_Steve","Jennings_Ken"
25,3,3,"2004-10-08","08","10","2004",1,"Lindke_Al","Watson_Aimee","Jennings_Ken"
25,4,3,"2004-10-08","08","10","2004",2,"Lindke_Al","Watson_Aimee","Jennings_Ken"
25,4,5,"2004-10-08","08","10","2004",3,"Lindke_Al","Watson_Aimee","Jennings_Ken"
26,5,6,"2004-10-11","11","10","2004",1,"Mabry_Tristan","Schomaker_Sunny","Jennings_Ken"
26,4,3,"2004-10-11","11","10","2004",2,"Mabry_Tristan","Schomaker_Sunny","Jennings_Ken"
